AuthCount	author	affiliation
30	Rieseberg, Loren H.	University of British Columbia
28	Otto, Sarah P.	University of British Columbia
21	Arcese, Peter	University of British Columbia
16	Schluter, Dolph	University of British Columbia
14	Irwin, Darren E.	University of British Columbia
14	Russello, Michael A.	University of British Columbia
14	Whitlock, Michael C.	University of British Columbia
12	Srivastava, Diane S.	University of British Columbia
11	Maddison, Wayne P.	University of British Columbia
9	Taylor, Eric B.	University of British Columbia
8	Cronk, Quentin C. B.	University of British Columbia
8	El-Kassaby, Yousry A.	University of British Columbia
8	Martin, Kathy	University of British Columbia
7	Aitken, Sally N.	University of British Columbia
7	Schulte, Patricia M.	University of British Columbia
7	Veen, Thor	University of British Columbia
6	Andrew, Rose L.	University of British Columbia
6	Angert, Amy L.	University of British Columbia
6	Douglas, Carl J.	University of British Columbia
6	Débarre, Florence	University of British Columbia
6	Geraldes, Armando	University of British Columbia
6	Hamelin, Richard C.	University of British Columbia
6	Keeling, Patrick J.	University of British Columbia
6	Richards, Jeffrey G.	University of British Columbia
6	Yeaman, Sam	University of British Columbia
5	Gilbert, Kimberly J.	University of British Columbia
5	Graham, Sean W.	University of British Columbia
5	Guy, Robert D.	University of British Columbia
5	Heavyside, Julian	University of British Columbia
5	Kane, Nolan C.	University of British Columbia
5	Muir, Christopher D.	University of British Columbia
5	Renaut, Sébastien	University of British Columbia
5	Rennison, Diana J.	University of British Columbia
5	Richardson, John S.	University of British Columbia
5	Russello, Michael	University of British Columbia
5	Toews, David P. L.	University of British Columbia
5	Trites, Andrew W.	University of British Columbia
5	Williams, Jennifer L.	University of British Columbia
4	Alcaide, Miguel	University of British Columbia
4	Bock, Dan G.	University of British Columbia
4	Cheung, William W. L.	University of British Columbia
4	Cronk, Quentin C.B.	University of British Columbia
4	Crutsinger, Gregory M.	University of British Columbia
4	Delmore, Kira E.	University of British Columbia
4	Granados, Alys	University of British Columbia
4	Grassa, Christopher J.	University of British Columbia
4	Hefer, Charles A.	University of British Columbia
4	Huang, Daisie I.	University of British Columbia
